kecamatan,grid_id,kepadatan_jalan,kepadatan_bangunan,persentase_hijau,label_emisi,prediksi_xgb
Bojongsari,0,554.683890733594,0.0,232.72630134830567,Tinggi,Tinggi
Bojongsari,1,126.51062129498911,3227.3318383230394,26.583921346998217,Tinggi,Tinggi
Bojongsari,2,173.71481956574442,3926.4972890039494,7.390276365925931,Tinggi,Tinggi
Bojongsari,3,566.7708806375261,0.0,76.27149626656558,Tinggi,Tinggi
Bojongsari,4,5055.317846958846,0.0,5841.139885312605,Tinggi,Tinggi
Bojongsari,5,287.2345561535326,7261.104085591526,189.80520673659558,Tinggi,Tinggi
Bojongsari,6,155.75046196043704,7661.483144964135,108.71860385673604,Tinggi,Tinggi
Bojongsari,7,471.21091769618994,1644.3591650913122,544.4581268823188,Tinggi,Tinggi
Bojongsari,8,0.0,0.0,24971.23397374529,Normal,Normal
Bojongsari,9,195.31797479680966,467.15094495447556,19.09751078633052,Tinggi,Tinggi
Bojongsari,10,125.85432721975933,404.4611492442614,26.621943077476644,Tinggi,Tinggi
Bojongsari,11,114.95496527770717,700.0000000268919,0.0,Tinggi,Tinggi
Bojongsari,12,97.76844507707172,2600.0000000968575,0.0,Tinggi,Tinggi
Bojongsari,13,116.94748175574449,4310.444066800407,0.0,Tinggi,Tinggi
Bojongsari,14,328.31304346787584,3623.636626594469,189.44366888056598,Tinggi,Tinggi
Bojongsari,15,91.20626058681424,8000.000000298022,0.0,Tinggi,Tinggi
Bojongsari,16,181.87987497158923,3500.0000001303847,0.0,Tinggi,Tinggi
Bojongsari,17,173.4015481462119,5500.00000020489,99.33197171173379,Tinggi,Tinggi
Bojongsari,18,0.0,0.0,887.3743699055558,Normal,Normal
Bojongsari,19,0.0,0.0,0.0,Tinggi,Tinggi
Bojongsari,20,84.46939644964046,110.70271975613097,4.779106937946808,Tinggi,Tinggi
Bojongsari,21,117.27554030969505,0.0,0.0,Tinggi,Tinggi
Bojongsari,22,56.35689406383532,299.9999999891734,0.0,Tinggi,Tinggi
Bojongsari,23,28.180162918216354,299.99999998882413,0.0,Tinggi,Tinggi
Bojongsari,24,51.01262725464466,2499.9999999068677,0.0,Tinggi,Tinggi
